,occupancy,listing_count,availability_90,num_reviews,num_bath,num_bed,num_bedroom,min_nights,room_type,property_type,bathroom_type,has_about,has_neighborhood_overview,account_age,has_profile_pic,identity_verified,is_superhost,instant_bookable,neighbourhood
0,1,10,89,0,1.0,1.0,1.0,1,Private room,apartment,private,0,0,1,1,1,0,1,Yau Tsim Mong
1,1,3,90,0,1.0,1.0,1.0,30,Private room,guesthouse,private,0,0,1,1,0,0,1,Yuen Long
2,1,1,90,0,1.0,1.0,3.0,2,Private room,guesthouse,private,0,0,1,1,1,0,1,Yau Tsim Mong
3,1,4,87,1,1.0,1.0,1.0,30,Private room,apartment,private,0,0,3,1,0,0,0,Wan Chai
5,1,3,90,0,1.0,1.0,1.0,28,Private room,bed and breakfast,private,0,0,3,1,0,0,1,Wan Chai
6,1,10,0,8,1.0,1.0,1.0,1,Private room,guesthouse,private,0,0,2,1,0,0,1,Yau Tsim Mong
7,1,10,21,2,1.0,1.0,1.0,28,Private room,apartment,private,0,0,3,1,0,1,0,Wan Chai
8,1,7,90,19,1.0,1.0,1.0,1,Private room,apartment,private,0,0,5,1,0,1,1,Yau Tsim Mong
10,1,3,90,1,1.0,1.0,1.0,1,Private room,apartment,private,0,0,5,1,0,0,1,Eastern
12,1,5,0,0,1.0,3.0,1.0,1,Private room,hotel,private,0,0,3,1,0,0,0,Yau Tsim Mong
13,1,2,90,36,1.0,1.0,1.0,1,Private room,hotel,private,0,0,4,1,0,0,1,Yau Tsim Mong
14,1,2,87,0,1.0,1.0,1.0,20,Private room,apartment,private,0,0,2,1,0,0,0,Yau Tsim Mong
15,1,1,0,0,1.0,1.0,1.0,14,Private room,apartment,private,0,0,6,1,0,0,0,Central & Western
17,1,1,0,0,1.0,1.0,1.0,365,Private room,guest suite,private,0,0,3,1,0,0,1,Central & Western
18,1,0,90,0,1.0,1.0,1.0,180,Private room,condominium,private,0,0,0,1,0,0,1,Sha Tin
20,1,0,76,0,1.0,1.0,1.0,14,Private room,guesthouse,private,0,0,6,1,0,0,1,Yau Tsim Mong
21,1,27,0,3,1.0,1.0,1.0,1,Private room,boutique hotel,private,0,0,5,1,1,0,0,Eastern
22,1,2,0,2,1.0,1.0,1.0,1,Private room,apartment,private,0,0,3,1,1,0,0,Sham Shui Po
24,1,1,66,0,1.0,1.0,1.0,7,Private room,condominium,private,0,0,4,1,1,0,0,Yau Tsim Mong
25,1,1,90,1,1.0,1.0,1.0,28,Private room,guest suite,private,0,0,1,1,1,0,0,Yau Tsim Mong
